Artist,Title,Album,Year,Genre,BPM,Song Key,Record Label,Catalog Number,Mix Placement
...,...,...,...,...,...,...,...,...,...
2000 And One,Kawasaki,Kawasaki,2015,Techno,128,1A,100% Pure,PURE098,MID
999999999,Love 4 Rave,Rave Reworks,2018,Techno,135,8A,NineTimesNine,NTNLTD002,MID
A Sacred Geometry,Atheres,Chapter III,2017,Techno,128,3A,A Sacred Geometry,ASG003,IN
A45,We Have Already Passed The Point Of No Return,Lack Of Trust In Human Race,2016,Techno,130,1A,Engrave Limited,ELTD10,IN
A45,Dazzled By An Unusual Sunshine,Stray EP 1,2016,Techno,129,1A,Engrave Limited,ELTD14,OUT
Ackermann,Left The Club Tipsy (Vinicius Honorio Remix),Remixed,2022,Techno,138,5A,Safe Space,SAFESP007,MID
Acronym,Getting Closer,Entangled In Vines,2016,Techno,128,1A,Semantica,SEMANTICA77,MID
Acronym,Centering,June,2015,Techno,125,6A,Northern Electronics,NE21,OUT
Advanced Human & Trinity,Splinter (Mary Velo Remix),The Dish,2016,Techno,128,5A,Counter Pulse,CP016,IN
Agony Forces,Kibera (Ness Mix),Wild Innocence,2014,Techno,123,6A,End Of Dayz,DAYZ002,IN
Aiken,Restless (Juho Kusti Remix),Looking Forward,2014,Techno,128,8A,Semantica,SEMANTICA62,OUT
Albert Van Abbe,Anvers Series_0001,No Comment _0007,2012,Techno,128,8A,No Comment,NC0007,OUT
Alderaan,Blue Moon,Dead Rose Part 1,2017,Techno,128,8A,Dead Rose Records,DR001,IN
Alderaan,Shelter,Free Inspiration Treaty,2016,Techno,127,8A,Aine,AINE07,IN
Alderaan,Vision,OCSDGTL002,2020,Techno,132,1A,OECUS,OCSDGTL002,OUT
Alderaan,Ancient Particles,Retina EP,2017,Techno,130,4A,Warm Up Recordings,WU049,IN
Alessandro Grops,Mistrality,Mistrality EP,2023,Techno,138,8A,Tronic,TR450,OUT
Alex Bau,Geometry,Geometry,2019,Techno,132,1A,Odd/Even,ODDEVENONE03,MID
Alexander Kowalski,The Path (Psyk Remix),The Path,2019,Techno,129,4A,Damage Music Berlin,DMB009,IN
Alien Rain,Alienated 2A,Alien Rain II,2012,Techno,128,5A,Alien Rain,AR2,IN
Allen,Dead Drop,Coherent Waves EP,2016,Techno,127,12A,Granulart Recordings,GR007,IN
Amandra,Legia Biala,Arquitectura Del Sueño (Exclusives),2017,Techno,125,5B,Semantica,SEMANTICA101,OUT
Ambivalent,Drag (Amotik Remix),Drag,2020,Techno,135,2A,Enemy Records,ENEMY032,OUT
Ambivalent,Gyges (Noncompliant Remix),We Still Believe,2018,Techno,132,11A,Tsugi,TSUGI110,MID
Amotik,Sau,47005,2016,Techno,135,2A,47,47005,IN
Amotik,Unnees,Amotik 006,2017,Techno,132,11A,Amotik,AMTK006,IN
